('2018-04-06 11:33:16.536155', 1523028796536154997, 'File', '/tmp/vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.686114', 1523030697686113765, 'Netflow', '139.123.0.113:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:43:04.976143', 1523029384976142609, 'Netflow', '61.167.39.128:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:47:34.606136', 1523029654606135739, 'File', '/etc/passwd', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:52.046111', 1523030692046111295, 'File', '/var/log/devc', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.386112', 1523030697386112131, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:35:44.886152', 1523028944886151963, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.536122', 1523030370536121873, 'File', '/var/log/nginx-error.log', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Netflow', '78.205.235.65:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.296174', 1523028020296173816, 'File', '/var/log/nginx-access.log', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.186179', 1523028012186179155, 'Netflow', '81.49.200.166:44623', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'Netflow', '81.49.200.166:43530', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:49.886158', 1523028709886158284, 'File', '/tmp/vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:53.046157', 1523028713046157350, 'File', '/etc/passwd', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.156174', 1523027996156173685, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.346171', 1523028173346171381, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.536122', 1523030370536121873, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:44.106176', 1523027984106176111, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:46.126174', 1523027986126174365, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:53.146177', 1523027993146176514, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.176172', 1523027996176172457, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:59.186172', 1523027999186172048, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:01.206176', 1523028001206176292, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:06.226174', 1523028006226174047, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:07.236175', 1523028007236175235, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:11.256173', 1523028011256172923, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.096172', 1523028012096172059, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.286176', 1523028020286175526, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.506121', 1523030370506120761, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.526122', 1523030370526121552, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-06 11:19:44.116174661~2018-04-06 11:59:30.536121873_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'File', '/var/log/nginx-error.log', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'File', '/var/log/nginx-access.log', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:59.395319', 1523228339395318796, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:33.325322', 1523228313325322222, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:35.345319', 1523228315345319224, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:44.355318', 1523228324355317939, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.375321', 1523228332375321270, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:59.395319', 1523228339395318796, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-08 18:58:33.335320313~2018-04-08 18:58:59.405327117_0')
('2018-04-09 16:25:56.933593', 1523305556933592598, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.933592598_0')
('2018-04-09 16:25:56.943593', 1523305556943592868, 'File', '/var/log/nginx-error.log', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:56.943593', 1523305556943592868, 'File', '/var/log/nginx-access.log', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:56.933593', 1523305556933592598, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:42.053840', 1523294562053839590, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:44.063838', 1523294564063837699, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:49.083837', 1523294569083836833, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:51.103838', 1523294571103837843, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:59.123838', 1523294579123838331, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:23:00.133838', 1523294580133838386, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:23:01.153838', 1523294581153837661, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:23:09.173839', 1523294589173838829, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:23.973622', 1523304203973622424, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:29.993625', 1523304209993624988, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:31.003622', 1523304211003622432, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:34.023622', 1523304214023621924, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:35.043623', 1523304215043622919, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:44.053623', 1523304224053622505, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:44.073623', 1523304224073622815, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:03:54.103622', 1523304234103622496, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:04:01.123622', 1523304241123622264, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:04:04.143621', 1523304244143621437, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:04:12.163624', 1523304252163624219, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:04:18.173621', 1523304258173621163, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:04:18.193621', 1523304258193621004, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:04:25.213621', 1523304265213621423, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:52.873592', 1523305552873591543, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:53.893593', 1523305553893592689, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:55.913591', 1523305555913591192, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:56.933593', 1523305556933592598, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-10 17:01:47.651623', 1523394107651622601, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-10 14:48:03.701793152~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:47.651623', 1523394107651622601, 'File', '/var/log/nginx-error.log', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:47.651623', 1523394107651622601, 'File', '/var/log/nginx-access.log', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:47.651623', 1523394107651622601, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:03.691793', 1523386083691792880, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:08.711792', 1523386088711791777, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:11.721793', 1523386091721792859, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:16.741791', 1523386096741791476, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:25.761791', 1523386105761790959, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:29.781791', 1523386109781791349, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:31.801794', 1523386111801793836, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 14:48:36.821794', 1523386116821794142, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:42.591615', 1523394102591614748, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:43.611613', 1523394103611612986, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:47.631615', 1523394107631614717, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:47.641613', 1523394107641613139, 'Subject', 'nginx', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-11 15:08:53.669835', 1523473733669835077, 'Subject', 'nginx', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.659834', 1523473712659834179, 'File', '/var/log/nginx-error.log', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.659834', 1523473712659834179, 'File', '/var/log/nginx-access.log', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:13:12.129831', 1523473992129831021, 'File', '/etc/passwd', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.409835', 1523473712409835141, 'Subject', 'nginx', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.659834', 1523473712659834179, 'Subject', 'nginx', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.359835', 1523473712359835172, 'Subject', 'nginx', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.659834', 1523473712659834179, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-11 15:08:32.659834179~2018-04-11 15:08:32.659834179_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'File', '/var/log/nginx-error.log', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'File', '/var/log/nginx-access.log', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'Subject', 'nginx', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:03:57.226025', 1523563437226024531, 'Subject', 'nginx', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:03:59.246025', 1523563439246024612, 'Subject', 'nginx', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:04.256022', 1523563444256021816, 'Subject', 'nginx', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:07.276025', 1523563447276024511, 'Subject', 'nginx', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'Subject', 'nginx', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-12 16:03:57.236025452~2018-04-12 16:04:11.296025541_0')
